Baseline 100%T_S,,Baseline 100%T_P,,312_R6G-PdTPP_simple P 6.00 12.00,,312_R6G-PdTPP_simple P 10.00 20.00,,312_R6G-PdTPP_simple P 14.00 28.00,,312_R6G-PdTPP_simple P 18.00 36.00,,312_R6G-PdTPP_simple P 22.00 44.00,,312_R6G-PdTPP_simple P 26.00 52.00,,312_R6G-PdTPP_simple P 30.00 60.00,,312_R6G-PdTPP_simple P 34.00 68.00,,312_R6G-PdTPP_simple P 38.00 76.00,,312_R6G-PdTPP_simple P 42.00 84.00,,312_R6G-PdTPP_simple P 46.00 92.00,,312_R6G-PdTPP_simple P 50.00 100.00,,312_R6G-PdTPP_simple P 54.00 108.00,,312_R6G-PdTPP_simple P 58.00 116.00,,312_R6G-PdTPP_simple P 62.00 124.00,,312_R6G-PdTPP_simple P 66.00 132.00,,312_R6G-PdTPP_simple P 70.00 140.00,,312_R6G-PdTPP_simple P 74.00 148.00,,312_R6G-PdTPP_simple P 78.00 156.00,,312_R6G-PdTPP_simple P 82.00 164.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
868,30.74010086,868,133.988205,868,95.71278381,868,95.73677826,868,95.72439575,868,95.71738434,868,95.72531128,868,95.69189453,868,95.66780853,868,95.66067505,868,95.56227112,868,95.4780426,868,95.33547211,868,95.18297577,868,94.92458344,868,94.68213654,868,94.33720398,868,93.98382568,868,93.49247742,868,93.01888275,868,92.5223465,868,88.09477997,
867,30.92000771,867,133.7563324,867,95.69277954,867,95.73410797,867,95.69567108,867,95.71318054,867,95.68165588,867,95.63470459,867,95.64213562,867,95.59617615,867,95.5326767,867,95.45478058,867,95.32408142,867,95.13837433,867,94.94994354,867,94.62416077,867,94.34477997,867,93.9335022,867,93.50900269,867,93.00172424,867,92.49451447,867,88.06625366,
866,31.09517097,866,133.4727936,866,95.71286011,866,95.77047729,866,95.73600006,866,95.69406891,866,95.71495056,866,95.68796539,866,95.67069244,866,95.62902832,866,95.55144501,866,95.52337646,866,95.36141968,866,95.21009827,866,94.91918945,866,94.71546936,866,94.36962891,866,93.99516296,866,93.51709747,866,93.03668976,866,92.54185486,866,88.13774872,
865,31.30226135,865,133.2575378,865,95.72380829,865,95.7328949,865,95.68743896,865,95.70735168,865,95.64115906,865,95.6576004,865,95.63237762,865,95.59933472,865,95.57198334,865,95.46279907,865,95.36495972,865,95.16419983,865,94.94717407,865,94.65742493,865,94.32872772,865,93.96302032,865,93.5103302,865,93.03082275,865,92.49931335,865,88.11343384,
864,31.43805504,864,133.0187225,864,95.61602783,864,95.69133759,864,95.68563843,864,95.66275787,864,95.66026306,864,95.66338348,864,95.63864136,864,95.60884857,864,95.50858307,864,95.41350555,864,95.31988525,864,95.16442871,864,94.90198517,864,94.62442017,864,94.28504181,864,93.94790649,864,93.48461914,864,93.00688171,864,92.50334167,864,88.08086395,
863,31.5828495,863,132.7763977,863,95.64849854,863,95.66596985,863,95.66118622,863,95.69995117,863,95.66474915,863,95.64497375,863,95.62914276,863,95.58139801,863,95.52306366,863,95.43867493,863,95.30787659,863,95.12660217,863,94.91882324,863,94.6114502,863,94.3243103,863,93.92233276,863,93.47813416,863,93.01121521,863,92.49740601,863,88.12943268,
862,31.72129059,862,132.5498962,862,95.65203857,862,95.6359787,862,95.63465118,862,95.63207245,862,95.61831665,862,95.61967468,862,95.60948944,862,95.53574371,862,95.47821808,862,95.41376495,862,95.29515839,862,95.09882355,862,94.87940216,862,94.60540771,862,94.28439331,862,93.87689972,862,93.43856812,862,92.98278046,862,92.47692871,862,88.07143402,
861,31.94411087,861,132.3242493,861,95.58657074,861,95.63194275,861,95.66183472,861,95.63201904,861,95.61068726,861,95.59705353,861,95.56716156,861,95.57262421,861,95.45146179,861,95.36283875,861,95.23150635,861,95.06885529,861,94.86700439,861,94.59358215,861,94.23058319,861,93.88785553,861,93.42930603,861,92.96276855,861,92.44379425,861,88.08327484,
860,32.05817795,860,132.0713806,860,95.59783936,860,95.6364212,860,95.62937164,860,95.57382202,860,95.63770294,860,95.56970215,860,95.55389404,860,95.52359009,860,95.45428467,860,95.35926056,860,95.28739166,860,95.07662201,860,94.88505554,860,94.55581665,860,94.2311554,860,93.83333588,860,93.40685272,860,92.96801758,860,92.45896149,860,88.07565308,
859,32.23688126,859,131.8092804,859,95.61389923,859,95.6038208,859,95.57673645,859,95.61644745,859,95.59253693,859,95.59860229,859,95.59057617,859,95.49981689,859,95.43976593,859,95.3826828,859,95.23114014,859,95.09325409,859,94.86152649,859,94.55901337,859,94.24408722,859,93.88889313,859,93.46363068,859,92.9258194,859,92.45012665,859,88.07660675,
